"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Dartmouth Big Green","","","","","",""
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/team/roster/_/id/159/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118363/marcus-berg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Marcus Berg","RB","5-9","205","JR","Minneapolis, MN"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118369/rocco-di-leo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Rocco Di Leo","DL","6-3","265","JR","Elmhurst, IL"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030932/david-emanuels","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","David Emanuels","LB","6-1","220","SO","Mercer Island, WA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030948/colton-forster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Colton Forster","LB","6-2","210","FR","Napa, CA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912484/gage-guerra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Gage Guerra","OL","5-11","265","SO","Corona, CA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030931/kamana-hobbs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Kamana Hobbs","DB","6-1","160","SO","Honolulu, HI"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030953/arthur-kaslow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Arthur Kaslow","LB","6-2","200","FR","Calabasas, CA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912502/zach-sammartino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Zach Sammartino","OL","6-4","285","SO","Pittsburgh, PA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118391/forrest-town","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Forrest Town","RB","5-11","200","JR","Zachary, LA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912508/kalil-washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Kalil Washington","DE","6-1","230","SO","Robinson, TX"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030950/hunter-hagdorn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Hunter Hagdorn","WR","6-1","185","FR","Manvel, TX"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/548494/danny-mcmanus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Danny McManus","DB","5-9","180","SR","Mendota Heights, MN"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118379/kyran-mckinney-crudden","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Kyran McKinney-Crudden","S","6-1","200","JR","Glastonbury, CT"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118389/emory-thompson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Emory Thompson","WR","5-10","170","JR","Lexington, KY"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/548496/charlie-miller","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Charlie Miller","DB","6-1","190","SR","Shoreview, MN"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912482/bruce-dixon-iv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Bruce Dixon IV","QB","6-4","225","SO","Concord, NC"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/529841/john-katzman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","John Katzman","PK","5-10","165","SR","Paradise Valley, AZ"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118364/colin-boit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Colin Boit","S","6-2","210","JR","Sammamish, WA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912494/dylan-mellor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Dylan Mellor","WR","6-1","180","SO","Purcellville, VA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/548501/folarin-orimolade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Folarin Orimolade","LB","6-1","235","SR","Burtonsville, MD"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4051233/cole-douglas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Cole Douglas","QB","6-1","205","FR","Irmo, SC"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030930/j.j.-jefferies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","J.J. Jefferies","LB","6-2","255","SO","Fresno, CA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118374/jack-heneghan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Jack Heneghan","QB","6-4","225","JR","Atherton, CA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912491/harry-kraft","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Harry Kraft","QB","5-8","175","SO","Chestnut Hill, MA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030949/jared-gerbino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Jared Gerbino","QB","6-4","225","FR","Rush, NY"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030943/micah-croom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Micah Croom","DB","6-2","195","FR","Cerritos, CA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118365/jarion-brown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Jarion Brown","WR","6-1","190","SO","Baldwin, LA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118386/david-smith","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","David Smith","PK","5-11","175","JR","Montreal, PQ"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912505/emmanuel-soto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Emmanuel Soto","WR","6-1","175","SO","Davie, FL"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118368/josh-davis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Josh Davis","WR","6-1","175","JR","Los Angeles, CA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030960/jake-pallotta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Jake Pallotta","QB","6-1","200","FR","Canton, OH"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/548491/darius-george","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Darius George","DB","6-1","200","SR","Lauderhill, FL"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912495/darryl-mobley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Darryl Mobley","QB","6-2","190","SO","Austin, TX"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030951/brandon-hester","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","Brandon Hester","WR","6-1","195","FR","El Cajon, CA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118381/porter-ontko","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","Porter Ontko","RB","6-1","210","JR","Naperville, IL"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118384/justin-porter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","Justin Porter","CB","5-9","185","JR","Pembroke Pines, FL"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030954/mason-koch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","Mason Koch","RB","5-9","205","FR","Coralville, IA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912506/bun-straton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","Bun Straton","DB","6-1","195","SO","Honolulu, HI"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/529818/k.j.-booze","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","K.J. Booze","WR","5-8","165","SR","Spiro, OK"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118366/jarius-brown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","Jarius Brown","DB","5-8","185","JR","Lauderhill, FL"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/548492/abrm-mcquarters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","Abrm McQuarters","RB","5-11","210","SR","Tulsa, OK"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030959/matthew-norton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","Matthew Norton","PK","5-11","190","FR","Sullivans Island, SC"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030947/drew-estrada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","Drew Estrada","WR","5-11","180","FR","Argyle, TX"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118393/ross-wood","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","Ross Wood","S","6-1","190","JR","Roswell, GA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912504/miles-smith","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","Miles Smith","RB","5-10","210","SO","Alpharetta, GA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912498/nick-peart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","Nick Peart","DB","5-10","185","SO","Plantation, FL"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912478/rivers-cahee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","Rivers Cahee","DB","6-1","190","SO","Lafayette, LA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030961/caylin-parker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","Caylin Parker","RB","5-11","200","FR","Belle Chasse, LA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118388/ryder-stone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","Ryder Stone","RB","5-10","215","JR","Calgary, AB"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030939/jordan-argilagos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","Jordan Argilagos","RB","5-8","185","FR","Lawrenceville, GA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118370/justin-edwards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","Justin Edwards","LB","6-2","230","JR","Lawrenceville, GA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030935/tyler-addison","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","Tyler Addison","DB","6-1","195","FR","New Orleans, LA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4051235/d.j.-avery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","D.J. Avery","DB","5-9","180","FR","Douglasville, GA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912488/jack-katzman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","Jack Katzman","P","5-11","175","SO","Paradise Valley, AZ"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118362/brock-bacon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","Brock Bacon","LB","6-2","225","JR","Dallas, TX"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4051236/michael-gordon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","Michael Gordon","DB","6-2","185","FR","Marietta, GA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912492/scott-lloyd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","Scott Lloyd","WR","6-2","195","SO","Fullerton, CA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030968/isiah-swann","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","Isiah Swann","DB","6-1","180","FR","Queen Creek, AZ"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912499/vito-penza","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","Vito Penza","RB","6-2","220","SO","Youngstown, OH"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912481/rashaad-cooper","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","Rashaad Cooper","RB","5-11","200","SO","Tracy, CA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030933/nathan-nuez","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","Nathan Nuez","LB","6-2","235","SO","Amherst, OH"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118377/jimmy-knight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","Jimmy Knight","LB","6-2","215","JR","Greenwich, CT"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912483/harrison-farber","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","Harrison Farber","LB","6-4","235","SO","Cresskill, NJ"
