"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Georgia Bulldogs","","","","","",""
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/team/roster/_/id/61/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3128721/sony-michel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Sony Michel","RB","5-11","222","JR","Plantation, FL"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/551306/maurice-smith","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Maurice Smith","DB","6-0","195","SR","Sugar Land, TX"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3915190/jayson-stanley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Jayson Stanley","WR","6-2","207","SO","Fairburn, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3128719/sam-vaughn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Sam Vaughn","QB","6-3","204","SO","Fort Pierce, FL"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4035018/tyler-simmons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Tyler Simmons","WR","6-0","206","FR","Powder Springs, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3915189/roquan-smith","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Roquan Smith","LB","6-1","225","SO","Montezuma, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4035004/mecole-hardman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Mecole Hardman","FB","5-11","183","FR","Bowman, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3915174/terry-godwin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Terry Godwin","WR","5-11","185","SO","Hogansville, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4035016/julian-rochester","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Julian Rochester","DL","6-5","316","FR","Powder Springs, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3728310/natrez-patrick","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Natrez Patrick","LB","6-3","238","SO","Atlanta, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4035019/javon-wims","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Javon Wims","WR","6-4","215","JR","Miami, FL"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3128715/lorenzo-carter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Lorenzo Carter","LB","6-6","242","JR","Norcross, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/546343/shaun-mcgee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Shaun McGee","LB","6-3","236","JR","Snellville, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4035015/riley-ridley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Riley Ridley","WR","6-2","197","FR","Coconut Creek, FL"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/534683/kenneth-towns","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Kenneth Towns","WR","6-3","211","SR","Albany, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/546353/reggie-wilkerson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Reggie Wilkerson","CB","5-11","173","JR","Citra, FL"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4035003/jacob-eason","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Jacob Eason","QB","6-5","235","FR","Lake Stevens, WA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3128714/keyon-brown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Keyon Brown","LB","6-3","257","SO","Wauchula, FL"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/530521/greyson-lambert","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Greyson Lambert","QB","6-5","234","SR","Jesup, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3915166/juwuan-briscoe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Juwuan Briscoe","DB","5-11","192","SO","Waldorf, MD"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/546345/brice-ramsey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Brice Ramsey","QB","6-3","210","JR","Kingsland, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4035006/elijah-holyfield","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Elijah Holyfield","RB","5-11","215","FR","College Park, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3728308/jonathan-ledbetter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Jonathan Ledbetter","DE","6-4","269","SO","Tucker, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/546372/parker-mcleod","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Parker McLeod","QB","6-3","195","JR","Marietta, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3128705/malkom-parrish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Malkom Parrish","CB","5-10","185","JR","Quitman, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3915196/d'andre-walker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","D'Andre Walker","LB","6-3","223","SO","Fairburn, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3128724/isaiah-mckenzie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Isaiah McKenzie","WR","5-8","175","JR","Miami, FL"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4053808/caleeb-roberson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Caleeb Roberson","DB","6-1","180","FR","Waynesboro, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/546322/davin-bellamy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Davin Bellamy","LB","6-5","240","JR","Chamblee, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4053805/josh-moran","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Josh Moran","WR","6-2","193","FR","Alpharetta, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3915163/deandre-baker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Deandre Baker","CB","5-11","180","SO","Miami, FL"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4035014/isaac-nauta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Isaac Nauta","TE","6-4","246","FR","Buford, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4046334/willie-erdman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Willie Erdman","WR","5-10","191","FR","Merritt Island, FL"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3728311/jarvis-wilson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Jarvis Wilson","DB","6-2","199","SO","Tupelo, MS"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/546341/quincy-mauger","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","Quincy Mauger","S","6-0","206","SR","Marietta, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/546329/brendan-douglas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","Brendan Douglas","RB","5-11","213","SR","Augusta, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3915183/avery-mcneely","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","Avery McNeely","RB","5-8","180","JR","Athens, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3917012/j.r.-reed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","J.R. Reed","DB","6-1","194","SO","Frisco, TX"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3128725/shakenneth-williams","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","Shakenneth Williams","WR","6-1","208","JR","Macon, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4053799/prather-hudson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","Prather Hudson","RB","5-11","188","FR","Columbus, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3128706/dominick-sanders","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","Dominick Sanders","S","6-0","193","JR","Tucker, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4035009/jaleel-laguins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","Jaleel Laguins","LB","6-2","220","FR","Watkinsville, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3147938/steven-van-tiflin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","Steven Van Tiflin","WR","6-1","207","SO","Saginaw, MI"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4046333/patrick-burke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","Patrick Burke","WR","6-3","197","FR","Marietta, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4035013/tyrique-mcghee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","Tyrique McGhee","DB","5-10","183","FR","Byron, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3128720/nick-chubb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","Nick Chubb","RB","5-10","228","JR","Cedartown, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4053810/kj-smith","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","KJ Smith","DB","5-11","172","FR","Perry, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3928956/otamere-enadeghe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","Otamere Enadeghe","DB","5-11","156","SO","Atlanta, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3915197/shaquery-wilson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","Shaquery Wilson","WR","6-1","211","SO","Coral Gables, FL"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3920480/tim-hill","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","Tim Hill","DB","5-11","172","SR","Atlanta, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3155019/matt-price","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","Matt Price","WR","6-0","198","SO","Snellville, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3915171/tae-crowder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","Tae Crowder","RB","6-3","228","FR","Hamilton, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3128726/shattle-fenteng","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","Shattle Fenteng","CB","6-2","193","SR","Loganville, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/559569/ridge-underwood","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","Ridge Underwood","LB","6-2","243","SR","Moultrie, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3915168/kirby-choates","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","Kirby Choates","DB","6-0","194","SO","East Point, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4053796/ian-donald-mcintyre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","Ian Donald-McIntyre","RB","5-10","207","FR","Fayetteville, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/559563/aaron-davis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","Aaron Davis","CB","6-1","189","JR","Locust Grove, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4035005/brian-herrien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","Brian Herrien","RB","6-0","210","FR","Manchester, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/552909/kyle-lestrange","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","Kyle LeStrange","FB","6-0","233","SR","Milton, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/3915182/rico-mcgraw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","Rico McGraw","DB","6-0","194","SO","Nashville, TN"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4034999/shavoyae-brown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","Shavoyae Brown","RB","5-9","170","FR","Dawson, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/4053803/jordon-mckinney","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","Jordon McKinney","DB","6-0","187","FR","Dalton, GA"
"","","11/1/2016 11:29:43 PM","http://www.espn.com/college-football/team/roster/_/id/61","http://www.espn.com/college-football/player/_/id/546346/ryne-rankin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","Ryne Rankin","LB","6-1","215","SR","Orlando, FL"
